2023-12-30 18:12:847 INFO  HomePage :75 - Sending the email text to signup field : [[ChromeDriver: chrome on windows (c046323ac5fae04fdf85a50ceacf182f)] -> xpath: //input[@data-qa='signup-email']]
2023-12-30 18:12:471 INFO  HomePage :91 - Clicking on Signup button : [[ChromeDriver: chrome on windows (c046323ac5fae04fdf85a50ceacf182f)] -> xpath: //button[normalize-space()='Signup']]
2023-12-30 18:12:77 INFO  HomePage :61 - Getting text as New User Signup! : [[ChromeDriver: chrome on windows (5ed5420207bbf7f4cc554dfab488126e)] -> xpath: //h2[normalize-space()='New User Signup!']]
2023-12-30 18:12:706 INFO  HomePage :91 - Clicking on Signup button : [[ChromeDriver: chrome on windows (5ed5420207bbf7f4cc554dfab488126e)] -> xpath: //button[normalize-space()='Signup']]
2023-12-30 20:12:884 INFO  HomePage :49 - Getting Home Page URL : 
2023-12-30 20:12:31 INFO  HomePage :58 - Getting text as Login to your account : [[ChromeDriver: chrome on windows (cab637208572ebc1096542ba1dda6e03)] -> xpath: //h2[normalize-space()='Login to your account']]
2023-12-30 20:12:244 INFO  HomePage :80 - Sending data to Email Address Field in Login : [[ChromeDriver: chrome on windows (cab637208572ebc1096542ba1dda6e03)] -> xpath: //input[@data-qa='login-email']]
2023-12-30 20:12:421 INFO  HomePage :82 - Sending data to Password Field in Login : [[ChromeDriver: chrome on windows (cab637208572ebc1096542ba1dda6e03)] -> xpath: //input[@placeholder='Password']]
2023-12-30 20:12:532 INFO  HomePage :88 - Clicking on Login button : [[ChromeDriver: chrome on windows (cab637208572ebc1096542ba1dda6e03)] -> xpath: //button[normalize-space()='Login']]
2023-12-30 20:12:609 INFO  HomePage :61 - Getting text as New User Signup! : [[ChromeDriver: chrome on windows (9ecd33493da05a547035fed6360e1b26)] -> xpath: //h2[normalize-space()='New User Signup!']]
2023-12-30 20:12:978 INFO  HomePage :73 - Sending the name text to signup field : [[ChromeDriver: chrome on windows (9ecd33493da05a547035fed6360e1b26)] -> xpath: //input[@data-qa='signup-email']]
